1697659851: Euphrasia officinalis
2513506176: Groenlandia densa
2517302912: Hymenophyllum polyanthos
2513520338: Aristida nemorivaga
2562055936: Cypripedium macranthos
1322099762: Chrysophyllum oliviforme
3467359925: Crossidium squamiferum
2284359495: Phyla cuneifolia
2397716929: Megalastrum atrogriseum
1260578109: Agave spicata
3125034214: Erigeron bonariensis
3356836015: Vicia americana
1998387245: Trichostema brachiatum
1999237355: Chenopodiastrum standleyanum
1998956483: Arctostaphylos uva-ursi
3356834058: Juniperus communis
1998394637: Carex scabriuscula
1999253468: Viola odorata
3734813368: Juncus dudleyi
3111515383: Alloberberis trifoliolata
2234232983: Macropiper puberulum
1999262308: Paronychia sessiliflora
1998974785: Castilleja applegatei
1998693120: Antennaria plantaginifolia
1701973524: Stellaria longifolia
1702263060: Phyllodoce caerulea
1702235740: Rubus grabowskii
1702357013: Euphorbia cyparissias
1702425560: Micranthes nivalis
1702254438: Lipandra polysperma
1701477809: Arabidopsis thaliana
2867548082: Taraxacum stictophyllum
1701706120: Carex pulicaris
1702237871: Myrrhis odorata
1702359234: Gentianella amarella
1701896120: Lotus corniculatus
1702311724: Digitalis purpurea
3115500317: Diplazium sylvaticum
2900455868: Cinna arundinacea
1675796841: Caesalpinia pulcherrima
1563299852: Inga nobilis
2512801142: Rorippa palustris
3005755518: Paspalum decumbens
1455960532: Tapirira obtusa
2612111434: Euphorbia berteroana
1228212556: Myosotis laxa
1424774292: Persicaria sagittata
2612115591: Baccharis auriculigera
1228276754: Rorippa palustris
1228476543: Anemopaegma arvense
1228576989: Juncus nodosus
1823454475: Gurania lobata
1701729979: Cypripedium fasciculatum
1928881910: Adiantum pedatum
1931047540: Typha angustifolia
1929881359: Acer saccharum
1928479020: Cirsium mexicanum
1930924863: Chaetomorpha antennina
1929472083: Juniperus scopulorum
2447314594: Angadenia berteroi
1930491842: Galium trifidum
1929372145: Opuntia repens
1928581487: Eriogonum heermannii
1949839092: Utricularia gibba
1930729559: Oclemena acuminata
2597502209: Pteris quadriaurita
1990707954: Deparia prolifera
1500125084: Didymoglossum godmanii
1500170486: Asplenium viride
2513603274: Paspalum conjugatum
2514462780: Vitex agnus-castus
2514481577: Bignonia aequinoctialis
2517671288: Gratiola officinalis
2516176063: Hypericum elodes
2513046013: Mallotus subulatus
2517838221: Clinopodium alpinum
2516233977: Arytera litoralis
2514398234: Abutilon theophrasti
2517101413: Actinotaenium mooreanum
2515134729: Micrasterias furcata
2514464378: Gynotroches axillaris
2515744959: Cistus salviifolius
2514086404: Litsea elliptica
2514242786: Cleidion javanicum
2517240779: Lotus alpinus
2515006045: Diplazium polypodioides
2516807990: Populus alba
2516660906: Cymbalaria muralis
